"abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
2.3,583.310357465183,"C34H48O6S","O6S","CHOS",34,48,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,584.317633917343,583.30988354284,0.811069725916932,0.81,583,582.659027908985,0.340972091015146,11,0.176470588235294,1.41176470588235,5,44.9474738457692,41,0.9,70,0.7,0,0,0,0,0,0,"Unambiguous"
1.9,583.252927301012,"C36H40O5S","O5S","CHOS",36,40,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,584.260203753172,583.25236866534,0.956141918015667,0.96,583,582.601661871848,0.398338128151977,17,0.138888888888889,1.11111111111111,12,44.9430496244231,42,0.9,74,0.5,0,0,0,0,0,0,"Unambiguous"
2.6,579.279415942236,"C34H44O6S","O6S","CHOS",34,44,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,580.286692394396,579.27858341524,1.434682212318,1.43,579,578.632587371353,0.367412628647344,13,0.176470588235294,1.29411764705882,7,44.6373738359539,41,0.9,70,0.6,0,0,0,0,0,0,"Unambiguous"
1.9,579.242255836009,"C33H40O7S","O7S","CHOS",33,40,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,580.249532288169,579.24219790994,0.0998295830068478,0.1,579,578.595468758433,0.404531241567497,14,0.212121212121212,1.21212121212121,7,44.6345749509308,41,0.9,68,0.6,0,0,0,0,0,0,"Unambiguous"
10,577.299580282629,"C35H46O5S","O5S","CHOS",35,46,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,578.306856734789,577.29931885674,0.452053933264594,0.45,577,576.654962413931,0.345037586069225,13,0.142857142857143,1.31428571428571,8,44.4851227160692,41,0.9,72,0.6,0,0,0,0,0,0,"Unambiguous"
1.4,577.264170181405,"C34H42O6S","O6S","CHOS",34,42,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,578.271446633565,577.26293335144,2.13883976519564,2.14,577,576.619591851942,0.380408148057995,14,0.176470588235294,1.23529411764706,8,44.4823238310462,41,0.9,70,0.6,0,0,0,0,0,0,"Unambiguous"
6.7,575.304964580772,"C32H48O7S","O7S","CHOS",32,48,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,576.312241032932,575.30479816514,0.288759496058714,0.29,575,574.662573917786,0.337426082214392,9,0.21875,1.5,2,44.3316980474846,40,0.9,66,0.7,0,0,0,0,0,0,"Unambiguous"
2.2,573.326358924682,"C33H50O6S","O6S","CHOS",33,50,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,574.333635376842,573.32553360664,1.43700105868547,1.44,573,572.686177590447,0.31382240955304,9,0.181818181818182,1.51515151515152,3,44.1794469276,40,0.9,68,0.7,0,0,0,0,0,0,"Unambiguous"
6.6,573.289648819742,"C32H46O7S","O7S","CHOS",32,46,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,574.296925271902,573.28914810134,0.871880693627085,0.87,573,572.649508476338,0.350491523662299,10,0.21875,1.4375,3,44.1766480425769,40,0.9,66,0.7,0,0,0,0,0,0,"Unambiguous"
2.6,649.319956161828,"C38H50O7S","O7S","CHOS",38,50,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,650.327232613988,649.32044822894,-0.756645403777525,0.76,649,648.594919698023,0.405080301976795,14,0.184210526315789,1.31578947368421,7,50.0252095908538,46,0.9,78,0.6,0,0,0,0,0,0,"Unambiguous"
12.5,571.310793162937,"C33H48O6S","O6S","CHOS",33,48,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,572.318069615097,571.30988354284,1.58936113510285,1.59,571,570.672862427438,0.327137572562492,10,0.181818181818182,1.45454545454545,4,44.0243969226923,40,0.9,68,0.7,0,0,0,0,0,0,"Unambiguous"
2.2,571.273403056052,"C32H44O7S","O7S","CHOS",32,44,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,572.280679508212,571.27349803754,-0.165970110609424,0.17,571,570.635514070681,0.364485929319471,11,0.21875,1.375,4,44.0215980376692,40,0.9,66,0.7,0,0,0,0,0,0,"Unambiguous"
3.2,571.252822997222,"C35H40O5S","O5S","CHOS",35,40,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,572.260099449382,571.25236866534,0.793925493133348,0.79,571,570.614956991727,0.385043008272646,16,0.142857142857143,1.14285714285714,11,44.0199727013462,41,0.9,72,0.6,0,0,0,0,0,0,"Unambiguous"
2,569.366647605355,"C35H54O4S","O4S","CHOS",35,54,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570.373924057515,569.36700448964,-0.625702315922557,0.63,569,568.730887720153,0.269112279846695,9,0.114285714285714,1.54285714285714,5,43.8749446878308,40,0.9,72,0.8,0,0,0,0,0,0,"Unambiguous"
2.3,569.330327501529,"C34H50O5S","O5S","CHOS",34,50,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570.337603953689,569.33061898434,-0.511070651218167,0.51,569,568.69460817168,0.305391828319671,10,0.147058823529412,1.47058823529412,5,43.8721458028077,40,0.9,70,0.7,0,0,0,0,0,0,"Unambiguous"
4.8,569.293777397046,"C33H46O6S","O6S","CHOS",33,46,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570.301053849206,569.29423347904,-0.799721463923545,0.8,569,568.658098879371,0.341901120629473,11,0.181818181818182,1.39393939393939,5,43.8693469177846,40,0.9,68,0.7,0,0,0,0,0,0,"Unambiguous"
2.9,567.351521844867,"C35H52O4S","O4S","CHOS",35,52,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,568.358798297027,567.35135442584,0.294565735475499,0.29,567,566.718012067092,0.281987932907555,10,0.114285714285714,1.48571428571429,6,43.7198946829231,40,0.9,72,0.7,0,0,0,0,0,0,"Unambiguous"
3.6,567.249151552229,"C25H44O12S","O12S","CHOS",25,44,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,568.256428004389,567.24807114904,1.90125995215812,1.9,567,566.615756082037,0.384243917962635,4,0.48,1.76,-8,43.7119498154769,38,0.9,52,0.8,0,0,0,0,0,0,"Unambiguous"
6.3,563.283910217094,"C34H44O5S","O5S","CHOS",34,44,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,564.291186669254,563.28366879294,0.427836123319752,0.43,563,562.654942370801,0.345057629199346,13,0.147058823529412,1.29411764705882,8,43.4069957880846,40,0.9,70,0.6,0,0,0,0,0,0,"Unambiguous"
1.8,561.267584453176,"C34H42O5S","O5S","CHOS",34,42,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,562.274860905336,561.26801872914,-0.772355291598648,0.77,561,560.640868054244,0.359131945756189,14,0.147058823529412,1.23529411764706,9,43.2519457831769,40,0.9,70,0.6,0,0,0,0,0,0,"Unambiguous"
3.6,559.273408752577,"C31H44O7S","O7S","CHOS",31,44,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,560.280685204737,559.27349803754,-0.159357560966853,0.16,559,558.648919068047,0.351080931952993,10,0.225806451612903,1.41935483870968,3,43.0985211145923,39,0.9,64,0.7,0,0,0,0,0,0,"Unambiguous"
1.5,559.253208694832,"C34H40O5S","O5S","CHOS",34,40,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,560.260485146992,559.25236866534,1.49935523652637,1.5,559,558.628741565868,0.371258434132415,15,0.147058823529412,1.17647058823529,10,43.0968957782692,40,0.9,70,0.6,0,0,0,0,0,0,"Unambiguous"
17.8,557.294383095286,"C32H46O6S","O6S","CHOS",32,46,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,558.301659547446,557.29423347904,0.267984597865597,0.27,557,556.672103208485,0.327896791515172,10,0.1875,1.4375,4,42.9462699947077,39,0.9,66,0.7,0,0,0,0,0,0,"Unambiguous"
4.8,557.273923036798,"C35H42O4S","O4S","CHOS",35,42,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,558.281199488958,557.27310410684,1.46687719170185,1.47,557,556.651665995881,0.348334004118783,15,0.114285714285714,1.2,11,42.9446446583846,40,0.9,72,0.6,0,0,0,0,0,0,"Unambiguous"
5.3,555.351597541592,"C34H52O4S","O4S","CHOS",34,52,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,556.358873993752,555.35135442584,0.436976496737614,0.44,555,554.731486986496,0.268513013503934,9,0.117647058823529,1.52941176470588,5,42.7968177598461,39,0.9,70,0.7,0,0,0,0,0,0,"Unambiguous"
8.6,555.315567438595,"C33H48O5S","O5S","CHOS",33,48,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,556.322843890755,555.31496892054,1.07584662693212,1.08,555,554.695497115034,0.304502884965586,10,0.151515151515152,1.45454545454545,5,42.7940188748231,39,0.9,68,0.7,0,0,0,0,0,0,"Unambiguous"
