"abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
2.9,261.043741581203,"C10H14O6S","O6S","CHOS",10,14,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,262.051018033363,261.04383245824,-0.346791390117636,0.35,261,260.752257807297,0.247742192702844,4,0.6,1.4,-2,20.1577776084923,17,0.8,22,0.6,0,0,0,0,0,0,"Unambiguous"
11,257.044610999165,"C6H14N2O7S","N2O7S","CHNOS",6,14,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,258.051887451325,257.04489509534,-1.10092655340237,1.1,257,256.757592690193,0.242407309806595,1,1.16666666666667,2.33333333333333,-6,19.8501670421154,16,0.8,14,1,0,0,0,0,0,0,"Unambiguous"
22.2,274.112014225062,"C12H21NO4S","NO4S","CHNOS",12,21,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,275.119290677222,274.11185244434,0.588038452537921,0.59,274,273.805938301175,0.194061698824726,3,0.333333333333333,1.75,-1,21.1630099151154,18,0.9,26,0.8,0,0,0,0,0,0,"Unambiguous"
2,255.080356253683,"C11H16N2O3S","N2O3S","CHNOS",11,16,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.087632705843,255.08088666994,-2.07122949042237,2.07,255,254.795531249108,0.20446875089192,5,0.272727272727273,1.45454545454545,2,19.6990894709308,17,0.9,24,0.7,0,0,0,0,0,0,"Unambiguous"
3.2,255.070136228992,"C12H16O4S","O4S","CHOS",12,16,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.077412681152,255.06965327744,1.88595919966143,1.89,255,254.785322636188,0.214677363811774,5,0.333333333333333,1.33333333333333,1,19.6982253638154,17,0.9,26,0.6,0,0,0,0,0,0,"Unambiguous"
2,255.065286217275,"C7H16N2O6S","N2O6S","CHNOS",7,16,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.072562669435,255.06563053684,-1.34461717178349,1.34,255,254.780478040037,0.219521959962634,1,0.857142857142857,2.28571428571429,-5,19.6979159222308,16,0.8,16,1,0,0,0,0,0,0,"Unambiguous"
3.8,255.059556203432,"C14H12N2OS","N2OS","CHNOS",14,12,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.066832655592,255.05975729774,-0.78531962204061,0.79,255,254.774754424379,0.225245575621216,10,0.0714285714285714,0.857142857142857,9,19.6974641346077,18,0.9,30,0.4,0,0,0,0,0,0,"Unambiguous"
2.2,255.022896114864,"C13H8N2O2S","N2O2S","CHNOS",13,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.030172567024,255.02337179244,-1.85789655679687,1.86,255,254.738135270793,0.26186472920665,11,0.153846153846154,0.615384615384615,9,19.6946652495846,18,0.9,28,0.3,0,0,0,0,0,0,"Unambiguous"
1.4,254.997106052557,"C10H8O6S","O6S","CHOS",10,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.004382504717,254.99688226684,0.874147993341476,0.87,255,254.712374005901,0.287625994099415,7,0.6,0.8,1,19.6926275937692,17,0.9,22,0.4,0,0,0,0,0,0,"Unambiguous"
1.8,254.971885991628,"C8H4N2O6S","N2O6S","CHNOS",8,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255.979162443788,254.97173015404,0.608790129789985,0.61,255,254.687182105916,0.312817894083736,8,0.75,0.5,2,19.6906928158615,17,0.9,18,0.2,0,0,0,0,0,0,"Unambiguous"
1.1,253.127051534655,"C14H22O2S","O2S","CHOS",14,22,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254.134327986815,253.12677422424,1.09119620965107,1.09,253,252.84440760758,0.155592392420175,4,0.142857142857143,1.57142857142857,2,19.5487731289538,17,0.9,30,0.7,0,0,0,0,0,0,"Unambiguous"
1.1,251.110956663932,"C14H20O2S","O2S","CHOS",14,20,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,252.118233116092,251.11112416044,-0.664356980281615,0.66,251,250.8305639264,0.169436073600053,5,0.142857142857143,1.42857142857143,3,19.3937231240462,17,0.9,30,0.7,0,0,0,0,0,0,"Unambiguous"
5.1,251.09604662791,"C10H20O5S","O5S","CHOS",10,20,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,252.10332308007,251.09586802734,0.708441952787705,0.71,251,250.815670539058,0.184329460942109,1,0.5,2,-4,19.3925495753462,16,0.8,22,0.9,0,0,0,0,0,0,"Unambiguous"
3.6,249.116951846576,"C11H22O4S","O4S","CHOS",11,22,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250.124228298736,249.11660346884,1.39281883475128,1.39,249,248.838785632637,0.161214367363129,1,0.363636363636364,2,-3,19.2402984554615,16,0.8,24,0.9,0,0,0,0,0,0,"Unambiguous"
